#node	date	numeric date
hCoV_19_Wales_PHWC_24006_2020_EPI_ISL_418137	2020-03-15	2020.203552
NODE_0000081	2020-03-15	2020.203552
hCoV_19_Wales_PHWC_24033_2020_EPI_ISL_418140	2020-03-15	2020.203552
hCoV_19_England_20139029904_2020_EPI_ISL_420665	2020-03-26	2020.233607
NODE_0000082	2020-03-02	2020.166885
hCoV_19_Wales_PHWC_23E2B_2020_EPI_ISL_418117	2020-03-14	2020.200820
NODE_0000083	2020-03-02	2020.166885
NODE_0000084	2020-03-27	2020.236339
hCoV_19_Wales_PHWC_26875_2020_EPI_ISL_422184	2020-03-27	2020.236339
hCoV_19_Wales_PHWC_26884_2020_EPI_ISL_422052	2020-03-27	2020.236339
NODE_0000085	2020-03-23	2020.224322
hCoV_19_Wales_PHWC_2557F_2020_EPI_ISL_421006	2020-03-23	2020.225410
NODE_0000086	2020-03-23	2020.226185
hCoV_19_Wales_PHWC_26FE9_2020_EPI_ISL_422059	2020-03-30	2020.244536
NODE_0000087	2020-03-24	2020.228142
hCoV_19_Wales_PHWC_258EF_2020_EPI_ISL_422243	2020-03-24	2020.228142
NODE_0000088	2020-03-25	2020.230874
hCoV_19_Wales_PHWC_25FEA_2020_EPI_ISL_422060	2020-03-25	2020.230874
hCoV_19_Wales_PHWC_26A60_2020_EPI_ISL_422206	2020-03-30	2020.244536
NODE_0000089	2019-11-25	2019.899580
NODE_0000090	2019-12-21	2019.971171
NODE_0000091	2020-02-08	2020.106276
hCoV_19_USA_CT_Yale_001_2020_EPI_ISL_416416	2020-03-06	2020.178962
NODE_0000092	2020-02-20	2020.137655
hCoV_19_Singapore_25_2020_EPI_ISL_420102	2020-03-05	2020.176230
NODE_0000093	2020-03-05	2020.176230
hCoV_19_Singapore_29_2020_EPI_ISL_420106	2020-03-06	2020.178962
hCoV_19_Singapore_26_2020_EPI_ISL_420103	2020-03-05	2020.176230
NODE_0000094	2019-12-21	2019.971171
NODE_0000095	2019-12-21	2019.971171
NODE_0000096	2019-12-27	2019.986927
hCoV_19_Guangdong_ZH_S33_P0058_2020_EPI_ISL_413898	2020-02-28	2020.159836
hCoV_19_Hangzhou_ZJU_011_2020_EPI_ISL_418991	2020-02-04	2020.094262
NODE_0000097	2020-01-05	2020.011325
hCoV_19_Guangdong_DG_S9_P0045_2020_EPI_ISL_413868	2020-02-28	2020.159836
hCoV_19_Guangdong_MM_S1_P0048_2020_EPI_ISL_413871	2020-02-28	2020.159836
NODE_0000098	2019-12-21	2019.971171
NODE_0000099	2019-12-21	2019.971171
hCoV_19_Shanghai_SH0066_2020_EPI_ISL_416369	2020-02-05	2020.096995
NODE_0000100	2020-02-10	2020.110656
hCoV_19_Guangdong_GDFS2020054_P0005_2020_EPI_ISL_413850	2020-02-10	2020.110656
hCoV_19_Guangdong_GDFS2020052_P0025_2020_EPI_ISL_413875	2020-02-10	2020.110656
NODE_0000101	2019-12-23	2019.976349
hCoV_19_Shanghai_SH0093_2020_EPI_ISL_416389	2020-01-21	2020.056011
NODE_0000102	2020-01-17	2020.045924
hCoV_19_HongKong_HKPU63_1402_2020_EPI_ISL_419231	2020-02-19	2020.135246
hCoV_19_Australia_VIC102_2020_EPI_ISL_419817	2020-03-16	2020.206284
NODE_0000103	2019-11-26	2019.901480
NODE_0000104	2019-11-26	2019.903992
hCoV_19_England_20116025603_2020_EPI_ISL_418670	2020-03-11	2020.192623
NODE_0000105	2020-03-06	2020.178962
hCoV_19_England_20109093606_2020_EPI_ISL_417285	2020-03-06	2020.178962
hCoV_19_England_20136088602_2020_EPI_ISL_420640	2020-03-23	2020.225410
NODE_0000106	2019-11-26	2019.903440
NODE_0000107	2019-12-01	2019.916187
hCoV_19_Wuhan_IVDC_HB_05_2019_EPI_ISL_402121	2019-12-30	2019.995890
NODE_0000108	2019-12-16	2019.957185
NODE_0000109	2020-01-03	2020.006932
hCoV_19_England_20139038004_2020_EPI_ISL_420671	2020-03-28	2020.239071
hCoV_19_England_20148002404_2020_EPI_ISL_421998	2020-04-02	2020.252732
NODE_0000110	2019-12-16	2019.957185
hCoV_19_Guangdong_JM_S1_P0062_2020_EPI_ISL_413902	2020-02-28	2020.159836
NODE_0000111	2020-01-14	2020.037223
hCoV_19_HongKong_CUHK2_2020_EPI_ISL_416315	2020-02-19	2020.135246
hCoV_19_Singapore_17_2020_EPI_ISL_418992	2020-02-10	2020.110656
NODE_0000112	2019-11-27	2019.905410
NODE_0000113	2019-11-27	2019.905410
hCoV_19_Guangdong_2020XN4373_P0039_2020_EPI_ISL_413851	2020-01-30	2020.080601
NODE_0000114	2019-12-21	2019.971183
hCoV_19_Wuhan_WIV02_2019_EPI_ISL_402127	2019-12-30	2019.995890
NODE_0000115	2019-12-30	2019.995890
hCoV_19_USA_CA8_2020_EPI_ISL_411955	2020-02-10	2020.110656
hCoV_19_Wuhan_HBCDC_HB_02_2019_EPI_ISL_412898	2019-12-30	2019.995890
NODE_0000116	2019-11-28	2019.907411
NODE_0000117	2019-11-28	2019.907411
NODE_0000118	2019-11-28	2019.907411
NODE_0000119	2020-01-07	2020.017945
hCoV_19_Shanghai_SH0107_2020_EPI_ISL_416397	2020-02-02	2020.088798
NODE_0000120	2020-01-07	2020.017945
hCoV_19_Guangdong_FS_S50_P0053_2020_EPI_ISL_413893	2020-02-28	2020.159836
hCoV_19_Shanghai_SH0114_2020_EPI_ISL_416401	2020-02-02	2020.088798
NODE_0000121	2020-01-07	2020.016651
NODE_0000122	2020-01-31	2020.083333
hCoV_19_China_WF0002_2020_EPI_ISL_413692	2020-01-31	2020.083333
hCoV_19_China_WF0004_2020_EPI_ISL_413694	2020-01-31	2020.083333
NODE_0000123	2020-01-07	2020.016651
hCoV_19_England_20144013904_2020_EPI_ISL_421933	2020-03-31	2020.247268
